scenario,epochs,method,seed,position,dateIndex,dateColumn
baseline_248,248,baseline,,198,198,D20230923
baseline_248,248,baseline,,199,199,D20231005
baseline_248,248,baseline,,200,200,D20231017
baseline_248,248,baseline,,201,201,D20231029
baseline_248,248,baseline,,202,202,D20231110
baseline_248,248,baseline,,203,203,D20231122
baseline_248,248,baseline,,204,204,D20231204
baseline_248,248,baseline,,205,205,D20231216
baseline_248,248,baseline,,206,206,D20231228
baseline_248,248,baseline,,207,207,D20240109
baseline_248,248,baseline,,208,208,D20240121
baseline_248,248,baseline,,209,209,D20240202
baseline_248,248,baseline,,210,210,D20240214
baseline_248,248,baseline,,211,211,D20240226
baseline_248,248,baseline,,212,212,D20240309
baseline_248,248,baseline,,213,213,D20240321
baseline_248,248,baseline,,214,214,D20240402
baseline_248,248,baseline,,215,215,D20240414
baseline_248,248,baseline,,216,216,D20240426
baseline_248,248,baseline,,217,217,D20240508
baseline_248,248,baseline,,218,218,D20240520
baseline_248,248,baseline,,219,219,D20240601
baseline_248,248,baseline,,220,220,D20240613
baseline_248,248,baseline,,221,221,D20240625
baseline_248,248,baseline,,222,222,D20240707
baseline_248,248,baseline,,223,223,D20240719
baseline_248,248,baseline,,224,224,D20240731
baseline_248,248,baseline,,225,225,D20240812
baseline_248,248,baseline,,226,226,D20240824
baseline_248,248,baseline,,227,227,D20240905
baseline_248,248,baseline,,228,228,D20240917
baseline_248,248,baseline,,229,229,D20240929
baseline_248,248,baseline,,230,230,D20241011
baseline_248,248,baseline,,231,231,D20241023
baseline_248,248,baseline,,232,232,D20241104
baseline_248,248,baseline,,233,233,D20241116
baseline_248,248,baseline,,234,234,D20241128
baseline_248,248,baseline,,235,235,D20241210
baseline_248,248,baseline,,236,236,D20241222
baseline_248,248,baseline,,237,237,D20250103
baseline_248,248,baseline,,238,238,D20250115
baseline_248,248,baseline,,239,239,D20250127
baseline_248,248,baseline,,240,240,D20250208
baseline_248,248,baseline,,241,241,D20250220
baseline_248,248,baseline,,242,242,D20250304
baseline_248,248,baseline,,243,243,D20250316
baseline_248,248,baseline,,244,244,D20250328
baseline_248,248,baseline,,245,245,D20250409
baseline_248,248,baseline,,246,246,D20250421
baseline_248,248,baseline,,247,247,D20250503
uniform_160,160,uniform,20276824,0,0,D20170322
uniform_160,160,uniform,20276824,1,2,D20170415
uniform_160,160,uniform,20276824,2,3,D20170427
uniform_160,160,uniform,20276824,3,5,D20170521
uniform_160,160,uniform,20276824,4,6,D20170602
uniform_160,160,uniform,20276824,5,8,D20170626
uniform_160,160,uniform,20276824,6,9,D20170708
uniform_160,160,uniform,20276824,7,11,D20170801
uniform_160,160,uniform,20276824,8,12,D20170813
uniform_160,160,uniform,20276824,9,14,D20170906
uniform_160,160,uniform,20276824,10,16,D20170930
uniform_160,160,uniform,20276824,11,17,D20171012
uniform_160,160,uniform,20276824,12,19,D20171105
uniform_160,160,uniform,20276824,13,20,D20171117
uniform_160,160,uniform,20276824,14,22,D20171211
uniform_160,160,uniform,20276824,15,23,D20171223
uniform_160,160,uniform,20276824,16,25,D20180116
uniform_160,160,uniform,20276824,17,26,D20180128
