evaluatedRows,failureCount,accuracy,macroF1,rawAccuracy,rawMacroF1,predictionAgreement,confidenceShift,confidenceAbsoluteShift,meanConfidence,rawMeanConfidence,calibrationChangeRate,scenario,epochs,method,seed,meanSpatialReliability,meanSpatialGate
523,0,0.9369024856596558,0.936090790165728,0.9311663479923518,0.9302649732121328,0.9866156787762906,-0.0010313986567780375,0.016102241352200508,0.9404190182685852,0.9413098692893982,0.0057361376673040155,front_sparse_back_dense_120,120,front_sparse_back_dense,20272828.0,0.5982248187065125,0.31668898463249207
523,0,0.9254302103250478,0.924401134247503,0.9273422562141491,0.9264133412936745,0.994263862332696,-0.00040796975372359157,0.014310403726994991,0.9410424828529358,0.9417740702629089,0.0057361376673040155,uniform_80,80,uniform,20268824.0,0.5984988808631897,0.31650370359420776
523,0,0.9158699808795411,0.9150856745512863,0.9158699808795411,0.9150856745512863,0.9655831739961759,-0.0029398733749985695,0.028086736798286438,0.9385105967521667,0.9396169185638428,0.0,random_missing_80,80,random_missing,20268825.0,0.5950378179550171,0.315034419298172
523,0,0.6367112810707457,0.5872693681917374,0.6290630975143403,0.5813255394717485,0.6405353728489483,-0.07171011716127396,0.12314222007989883,0.8697403073310852,0.8699240684509277,0.011472275334608031,continuous_gap_80,80,continuous_gap,20268826.0,0.5887492895126343,0.30209338665008545
523,0,0.9216061185468452,0.9208662079878813,0.9196940726577438,0.9189075135427718,0.9847036328871893,-0.0016998961800709367,0.014042065478861332,0.9397504925727844,0.9404526948928833,0.009560229445506692,front_dense_back_sparse_80,80,front_dense_back_sparse,20268827.0,0.5984659790992737,0.31658363342285156
523,0,0.9273422562141491,0.9265509799198731,0.9292543021032504,0.928506983400801,0.9770554493307839,-0.00368126411922276,0.023972712457180023,0.9377691745758057,0.938478946685791,0.009560229445506692,front_sparse_back_dense_80,80,front_sparse_back_dense,20268828.0,0.5963061451911926,0.31503015756607056
523,0,0.9235181644359465,0.9226366894951901,0.9273422562141491,0.9264384923280947,0.9789674952198852,-0.0023590917699038982,0.02079974114894867,0.9390913248062134,0.9399190545082092,0.0076481835564053535,uniform_60,60,uniform,20266824.0,0.5965481400489807,0.3154474198818207
523,0,0.9082217973231358,0.9075265499171126,0.9101338432122371,0.909448132761255,0.9483747609942639,-0.010129906237125397,0.039771776646375656,0.9313204884529114,0.931602954864502,0.0057361376673040155,random_missing_60,60,random_missing,20266825.0,0.5943859219551086,0.3155461549758911
523,0,0.6634799235181644,0.6391456736576148,0.6481835564053537,0.6191875117708469,0.6653919694072657,-0.0604475662112236,0.12287558615207672,0.8810027837753296,0.883457601070404,0.02676864244741874,continuous_gap_60,60,continuous_gap,20266826.0,0.5893308520317078,0.299312949180603
523,0,0.9177820267686424,0.9169845221164336,0.9158699808795411,0.9151231642990675,0.9789674952198852,-0.003950012382119894,0.020503146573901176,0.9375003576278687,0.9383388161659241,0.0019120458891013384,front_dense_back_sparse_60,60,front_dense_back_sparse,20266827.0,0.5969173908233643,0.31645432114601135
523,0,0.9196940726577438,0.9190714226503999,0.9235181644359465,0.9228591683321876,0.9694072657743786,-0.00688802869990468,0.03524859622120857,0.9345623850822449,0.9353029727935791,0.0076481835564053535,front_sparse_back_dense_60,60,front_sparse_back_dense,20266828.0,0.5950755476951599,0.31441232562065125
523,0,0.9216061185468452,0.9208171909325381,0.9177820267686424,0.9169888512864782,0.97131931166348,-0.007034014444798231,0.03515249490737915,0.9344163537025452,0.9352859258651733,0.0038240917782026767,uniform_40,40,uniform,20264824.0,0.5925444960594177,0.3129499554634094
