classId,precision,recall,f1,support,rawPrecision,rawRecall,rawF1,scenario,epochs,method,className
5,0.8928571428571429,0.9146341463414634,0.9036144578313253,82,0.8837209302325582,0.926829268292683,0.9047619047619047,random_missing_120,120,random_missing,Undefined
0,0.9560439560439561,0.9666666666666667,0.9613259668508287,90,0.9560439560439561,0.9666666666666667,0.9613259668508287,continuous_gap_120,120,continuous_gap,Stable
1,0.5774647887323944,0.9213483146067416,0.7099567099567099,89,0.5804195804195804,0.9325842696629213,0.7155172413793103,continuous_gap_120,120,continuous_gap,Linear
2,0.6666666666666666,0.23529411764705882,0.3478260869565218,85,0.7142857142857143,0.23529411764705882,0.3539823008849558,continuous_gap_120,120,continuous_gap,Piecewise
3,0.8469387755102041,0.9325842696629213,0.8877005347593584,89,0.8469387755102041,0.9325842696629213,0.8877005347593584,continuous_gap_120,120,continuous_gap,Decelerating
4,0.7849462365591398,0.8295454545454546,0.8066298342541436,88,0.8021978021978022,0.8295454545454546,0.8156424581005587,continuous_gap_120,120,continuous_gap,Accelerating
5,0.8115942028985508,0.6829268292682927,0.7417218543046358,82,0.8194444444444444,0.7195121951219512,0.7662337662337662,continuous_gap_120,120,continuous_gap,Undefined
0,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,0.9777777777777777,0.9777777777777777,0.9777777777777777,front_dense_back_sparse_120,120,front_dense_back_sparse,Stable
1,0.9534883720930233,0.9213483146067416,0.9371428571428573,89,0.9540229885057471,0.9325842696629213,0.9431818181818182,front_dense_back_sparse_120,120,front_dense_back_sparse,Linear
2,0.8690476190476191,0.8588235294117647,0.863905325443787,85,0.8902439024390244,0.8588235294117647,0.874251497005988,front_dense_back_sparse_120,120,front_dense_back_sparse,Piecewise
3,0.9550561797752809,0.9550561797752809,0.9550561797752809,89,0.9550561797752809,0.9550561797752809,0.9550561797752809,front_dense_back_sparse_120,120,front_dense_back_sparse,Decelerating
4,0.9080459770114943,0.8977272727272727,0.9028571428571429,88,0.9069767441860465,0.8863636363636364,0.896551724137931,front_dense_back_sparse_120,120,front_dense_back_sparse,Accelerating
5,0.8620689655172413,0.9146341463414634,0.8875739644970414,82,0.8539325842696629,0.926829268292683,0.888888888888889,front_dense_back_sparse_120,120,front_dense_back_sparse,Undefined
0,0.9887640449438202,0.9777777777777777,0.9832402234636872,90,0.9887640449438202,0.9777777777777777,0.9832402234636872,front_sparse_back_dense_120,120,front_sparse_back_dense,Stable
1,0.9651162790697675,0.9325842696629213,0.9485714285714285,89,0.9540229885057471,0.9325842696629213,0.9431818181818182,front_sparse_back_dense_120,120,front_sparse_back_dense,Linear
2,0.9146341463414634,0.8823529411764706,0.8982035928143712,85,0.9135802469135802,0.8705882352941177,0.8915662650602408,front_sparse_back_dense_120,120,front_sparse_back_dense,Piecewise
3,0.9560439560439561,0.9775280898876404,0.9666666666666667,89,0.9560439560439561,0.9775280898876404,0.9666666666666667,front_sparse_back_dense_120,120,front_sparse_back_dense,Decelerating
4,0.9204545454545454,0.9204545454545454,0.9204545454545455,88,0.9186046511627907,0.8977272727272727,0.9080459770114941,front_sparse_back_dense_120,120,front_sparse_back_dense,Accelerating
5,0.8735632183908046,0.926829268292683,0.8994082840236686,82,0.8539325842696629,0.926829268292683,0.888888888888889,front_sparse_back_dense_120,120,front_sparse_back_dense,Undefined
0,0.9887640449438202,0.9777777777777777,0.9832402234636872,90,0.9887640449438202,0.9777777777777777,0.9832402234636872,uniform_80,80,uniform,Stable
1,0.9540229885057471,0.9325842696629213,0.9431818181818182,89,0.9431818181818182,0.9325842696629213,0.9378531073446328,uniform_80,80,uniform,Linear
2,0.8795180722891566,0.8588235294117647,0.8690476190476191,85,0.9012345679012346,0.8588235294117647,0.8795180722891566,uniform_80,80,uniform,Piecewise
3,0.9555555555555556,0.9662921348314607,0.9608938547486034,89,0.9555555555555556,0.9662921348314607,0.9608938547486034,uniform_80,80,uniform,Decelerating
4,0.9090909090909091,0.9090909090909091,0.9090909090909091,88,0.9080459770114943,0.8977272727272727,0.9028571428571429,uniform_80,80,uniform,Accelerating
5,0.8604651162790697,0.9024390243902439,0.8809523809523809,82,0.8636363636363636,0.926829268292683,0.8941176470588236,uniform_80,80,uniform,Undefined
0,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,0.9777777777777777,0.9777777777777777,0.9777777777777777,random_missing_80,80,random_missing,Stable
1,0.9425287356321839,0.9213483146067416,0.9318181818181818,89,0.9425287356321839,0.9213483146067416,0.9318181818181818,random_missing_80,80,random_missing,Linear
2,0.8314606741573034,0.8705882352941177,0.8505747126436781,85,0.8314606741573034,0.8705882352941177,0.8505747126436781,random_missing_80,80,random_missing,Piecewise
3,0.9550561797752809,0.9550561797752809,0.9550561797752809,89,0.9550561797752809,0.9550561797752809,0.9550561797752809,random_missing_80,80,random_missing,Decelerating
4,0.9047619047619048,0.8636363636363636,0.8837209302325582,88,0.9047619047619048,0.8636363636363636,0.8837209302325582,random_missing_80,80,random_missing,Accelerating
5,0.8809523809523809,0.9024390243902439,0.8915662650602411,82,0.8809523809523809,0.9024390243902439,0.8915662650602411,random_missing_80,80,random_missing,Undefined
0,0.9,0.9,0.9,90,0.9,0.9,0.9,continuous_gap_80,80,continuous_gap,Stable
1,0.47023809523809523,0.8876404494382022,0.6147859922178989,89,0.4540229885057471,0.8876404494382022,0.6007604562737642,continuous_gap_80,80,continuous_gap,Linear
2,0.5555555555555556,0.47058823529411764,0.5095541401273886,85,0.5555555555555556,0.47058823529411764,0.5095541401273886,continuous_gap_80,80,continuous_gap,Piecewise
3,0.6545454545454545,0.8089887640449438,0.7236180904522612,89,0.660377358490566,0.7865168539325843,0.717948717948718,continuous_gap_80,80,continuous_gap,Decelerating
4,0.7215189873417721,0.6477272727272727,0.6826347305389221,88,0.7142857142857143,0.625,0.6666666666666666,continuous_gap_80,80,continuous_gap,Accelerating
5,1.0,0.04878048780487805,0.09302325581395349,82,1.0,0.04878048780487805,0.09302325581395349,continuous_gap_80,80,continuous_gap,Undefined
0,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,0.9777777777777777,0.9777777777777777,0.9777777777777777,front_dense_back_sparse_80,80,front_dense_back_sparse,Stable
1,0.9534883720930233,0.9213483146067416,0.9371428571428573,89,0.9318181818181818,0.9213483146067416,0.9265536723163842,front_dense_back_sparse_80,80,front_dense_back_sparse,Linear
2,0.8505747126436781,0.8705882352941177,0.8604651162790696,85,0.8690476190476191,0.8588235294117647,0.863905325443787,front_dense_back_sparse_80,80,front_dense_back_sparse,Piecewise
3,0.9550561797752809,0.9550561797752809,0.9550561797752809,89,0.9545454545454546,0.9438202247191011,0.9491525423728814,front_dense_back_sparse_80,80,front_dense_back_sparse,Decelerating
4,0.9069767441860465,0.8863636363636364,0.896551724137931,88,0.9058823529411765,0.875,0.8901734104046243,front_dense_back_sparse_80,80,front_dense_back_sparse,Accelerating
5,0.8823529411764706,0.9146341463414634,0.8982035928143712,82,0.875,0.9390243902439024,0.9058823529411764,front_dense_back_sparse_80,80,front_dense_back_sparse,Undefined
0,0.9775280898876404,0.9666666666666667,0.9720670391061451,90,0.9775280898876404,0.9666666666666667,0.9720670391061451,front_sparse_back_dense_80,80,front_sparse_back_dense,Stable
1,0.9642857142857143,0.9101123595505618,0.9364161849710984,89,0.9534883720930233,0.9213483146067416,0.9371428571428573,front_sparse_back_dense_80,80,front_sparse_back_dense,Linear
2,0.8823529411764706,0.8823529411764706,0.8823529411764706,85,0.9135802469135802,0.8705882352941177,0.8915662650602408,front_sparse_back_dense_80,80,front_sparse_back_dense,Piecewise
